word,score
Write,0.010986328125
a,0.021240234375
fairy,0.03173828125
tale,0.035400390625
that,0.003875732421875
blends,0.00421142578125
two,0.0020904541015625
contrasting,0.00299072265625
narrative,0.003326416015625
genres,0.0113525390625
.,0.032958984375
Do,0.00408935546875
not,0.00506591796875
assume,0.010986328125
any,0.005462646484375
prior,0.0025787353515625
context,0.00225830078125
or,0.0026702880859375
style,0.00152587890625
.,0.01953125
Simply,0.01373291015625
respond,0.0213623046875
with,0.0022125244140625
a,0.00836181640625
complete,0.0225830078125
and,0.123046875
coherent,0.08984375
fairy,0.012451171875
tale,0.005767822265625
based,0.0036163330078125
solely,0.00439453125
on,0.00167083740234375
the,0.0020294189453125
genres,0.006988525390625
provided,0.0172119140625
.,0.0966796875
Use,0.006805419921875
clear,0.0037994384765625
language,0.0113525390625
and,0.003997802734375
avoid,0.0016326904296875
adding,0.00274658203125
your,0.006378173828125
own,0.0023956298828125
framing,0.00994873046875
or,0.003753662109375
interpretations,0.00811767578125
.ĊĊThe,0.02239990234375
fairy,0.0341796875
tale,0.0198974609375
will,0.00323486328125
mix,0.0032806396484375
the,0.006500244140625
two,0.005340576171875
following,0.003082275390625
genres,0.00982666015625
:,0.126953125
crime,0.04931640625
+,0.106201171875
fantasy,0.291015625
